Two-Stream Convolutional Networks for Action Recognition in Videos,"Karen Simonyan, Andrew Zisserman",https://proceedings.neurips.cc/paper/2014/hash/00ec53c4682d36f5c4359f4ae7bd7ba1-Abstract.html
Exploiting easy data in online optimization,"Amir Sani, Gergely Neu, Alessandro Lazaric",https://proceedings.neurips.cc/paper/2014/hash/01f78be6f7cad02658508fe4616098a9-Abstract.html
Optimal prior-dependent neural population codes under shared input noise,"Agnieszka Grabska-Barwinska, Jonathan W. Pillow",https://proceedings.neurips.cc/paper/2014/hash/021bbc7ee20b71134d53e20206bd6feb-Abstract.html
Quantized Kernel Learning for Feature Matching,"Danfeng Qin, Xuanli Chen, Matthieu Guillaumin, Luc V. Gool",https://proceedings.neurips.cc/paper/2014/hash/02522a2b2726fb0a03bb19f2d8d9524d-Abstract.html
QUIC & DIRTY: A Quadratic Approximation Approach for Dirty Statistical Models,"Cho-Jui Hsieh, Inderjit S. Dhillon, Pradeep K. Ravikumar, Stephen Becker, Peder A. Olsen",https://proceedings.neurips.cc/paper/2014/hash/03f544613917945245041ea1581df0c2-Abstract.html
On a Theory of Nonparametric Pairwise Similarity for Clustering: Connecting Clustering to Classification,"Yingzhen Yang, Feng Liang, Shuicheng Yan, Zhangyang Wang, Thomas S. Huang",https://proceedings.neurips.cc/paper/2014/hash/069059b7ef840f0c74a814ec9237b6ec-Abstract.html
Predictive Entropy Search for Efficient Global Optimization of Black-box Functions,"José Miguel Hernández-Lobato, Matthew W. Hoffman, Zoubin Ghahramani",https://proceedings.neurips.cc/paper/2014/hash/069d3bb002acd8d7dd095917f9efe4cb-Abstract.html
Discriminative Unsupervised Feature Learning with Convolutional Neural Networks,"Alexey Dosovitskiy, Jost Tobias Springenberg, Martin Riedmiller, Thomas Brox",https://proceedings.neurips.cc/paper/2014/hash/07563a3fe3bbe7e3ba84431ad9d055af-Abstract.html
Expectation Backpropagation: Parameter-Free Training of Multilayer Neural Networks with Continuous or Discrete Weights,"Daniel Soudry, Itay Hubara, Ron Meir",https://proceedings.neurips.cc/paper/2014/hash/076a0c97d09cf1a0ec3e19c7f2529f2b-Abstract.html
Compressive Sensing of Signals from a GMM with Sparse Precision Matrices,"Jianbo Yang, Xuejun Liao, Minhua Chen, Lawrence Carin",https://proceedings.neurips.cc/paper/2014/hash/0771fc6f0f4b1d7d1bb73bbbe14e0e31-Abstract.html
Recovery of Coherent Data via Low-Rank Dictionary Pursuit,"Guangcan Liu, Ping Li",https://proceedings.neurips.cc/paper/2014/hash/07a96b1f61097ccb54be14d6a47439b0-Abstract.html
Learning to Discover Efficient Mathematical Identities,"Wojciech Zaremba, Karol Kurach, Rob Fergus",https://proceedings.neurips.cc/paper/2014/hash/08419be897405321542838d77f855226-Abstract.html
Global Sensitivity Analysis for MAP Inference in Graphical Models,"Jasper De Bock, Cassio P. de Campos, Alessandro Antonucci",https://proceedings.neurips.cc/paper/2014/hash/0966289037ad9846c5e994be2a91bafa-Abstract.html
Recurrent Models of Visual Attention,"Volodymyr Mnih, Nicolas Heess, Alex Graves, koray kavukcuoglu",https://proceedings.neurips.cc/paper/2014/hash/09c6c3783b4a70054da74f2538ed47c6-Abstract.html
LSDA: Large Scale Detection through Adaptation,"Judy Hoffman, Sergio Guadarrama, Eric S. Tzeng, Ronghang Hu, Jeff Donahue, Ross Girshick, Trevor Darrell, Kate Saenko",https://proceedings.neurips.cc/paper/2014/hash/09fb05dd477d4ae6479985ca56c5a12d-Abstract.html
Analog Memories in a Balanced Rate-Based Network of E-I Neurons,"Dylan Festa, Guillaume Hennequin, Mate Lengyel",https://proceedings.neurips.cc/paper/2014/hash/0a0a0c8aaa00ade50f74a3f0ca981ed7-Abstract.html
Efficient Partial Monitoring with Prior Information,"Hastagiri P. Vanchinathan, Gábor Bartók, Andreas Krause",https://proceedings.neurips.cc/paper/2014/hash/0a113ef6b61820daa5611c870ed8d5ee-Abstract.html
Near-optimal Reinforcement Learning in Factored MDPs,"Ian Osband, Benjamin Van Roy",https://proceedings.neurips.cc/paper/2014/hash/0deb1c54814305ca9ad266f53bc82511-Abstract.html
Robust Kernel Density Estimation by Scaling and Projection in Hilbert Space,"Robert A. Vandermeulen, Clayton Scott",https://proceedings.neurips.cc/paper/2014/hash/0e01938fc48a2cfb5f2217fbfb00722d-Abstract.html
Extracting Certainty from Uncertainty: Transductive Pairwise Classification from Pairwise Similarities,"Tianbao Yang, Rong Jin",https://proceedings.neurips.cc/paper/2014/hash/0e65972dce68dad4d52d063967f0a705-Abstract.html
