Real Time Image Saliency for Black Box Classifiers,"Piotr Dabkowski, Yarin Gal",https://proceedings.neurips.cc/paper/2017/hash/0060ef47b12160b9198302ebdb144dcf-Abstract.html
Joint distribution optimal transportation for domain adaptation,"Nicolas Courty, Rémi Flamary, Amaury Habrard, Alain Rakotomamonjy",https://proceedings.neurips.cc/paper/2017/hash/0070d23b06b1486a538c0eaa45dd167a-Abstract.html
Learning A Structured Optimal Bipartite Graph for Co-Clustering,"Feiping Nie, Xiaoqian Wang, Cheng Deng, Heng Huang",https://proceedings.neurips.cc/paper/2017/hash/00a03ec6533ca7f5c644d198d815329c-Abstract.html
Learning to Inpaint for Image Compression,"Mohammad Haris Baig, Vladlen Koltun, Lorenzo Torresani",https://proceedings.neurips.cc/paper/2017/hash/013a006f03dbc5392effeb8f18fda755-Abstract.html
Inverse Filtering for Hidden Markov Models,"Robert Mattila, Cristian Rojas, Vikram Krishnamurthy, Bo Wahlberg",https://proceedings.neurips.cc/paper/2017/hash/01894d6f048493d2cacde3c579c315a3-Abstract.html
On clustering network-valued data,"Soumendu Sundar Mukherjee, Purnamrita Sarkar, Lizhen Lin",https://proceedings.neurips.cc/paper/2017/hash/018dd1e07a2de4a08e6612341bf2323e-Abstract.html
Langevin Dynamics with Continuous Tempering for Training Deep Neural Networks,"Nanyang Ye, Zhanxing Zhu, Rafal Mantiuk",https://proceedings.neurips.cc/paper/2017/hash/019d385eb67632a7e958e23f24bd07d7-Abstract.html
Beyond Worst-case: A Probabilistic Analysis of Affine Policies in Dynamic Optimization,"Omar El Housni, Vineet Goyal",https://proceedings.neurips.cc/paper/2017/hash/01a0683665f38d8e5e567b3b15ca98bf-Abstract.html
Few-Shot Learning Through an Information Retrieval  Lens,"Eleni Triantafillou, Richard Zemel, Raquel Urtasun",https://proceedings.neurips.cc/paper/2017/hash/01e9565cecc4e989123f9620c1d09c09-Abstract.html
Accelerated consensus via Min-Sum Splitting,"Patrick Rebeschini, Sekhar C. Tatikonda",https://proceedings.neurips.cc/paper/2017/hash/024d7f84fff11dd7e8d9c510137a2381-Abstract.html
Saliency-based Sequential Image Attention with Multiset Prediction,"Sean Welleck, Jialin Mao, Kyunghyun Cho, Zheng Zhang",https://proceedings.neurips.cc/paper/2017/hash/028ee724157b05d04e7bdcf237d12e60-Abstract.html
Adaptive Bayesian Sampling with Monte Carlo EM,"Anirban Roychowdhury, Srinivasan Parthasarathy",https://proceedings.neurips.cc/paper/2017/hash/02a32ad2669e6fe298e607fe7cc0e1a0-Abstract.html
Scalable Levy Process Priors for Spectral Kernel Learning,"Phillip A. Jang, Andrew Loeb, Matthew Davidow, Andrew G. Wilson",https://proceedings.neurips.cc/paper/2017/hash/02b1be0d48924c327124732726097157-Abstract.html
Model-Powered Conditional Independence Test,"Rajat Sen, Ananda Theertha Suresh, Karthikeyan Shanmugam, Alexandros G. Dimakis, Sanjay Shakkottai",https://proceedings.neurips.cc/paper/2017/hash/02f039058bd48307e6f653a2005c9dd2-Abstract.html
Learning Multiple Tasks with Multilinear Relationship Networks,"Mingsheng Long, ZHANGJIE CAO, Jianmin Wang, Philip S. Yu",https://proceedings.neurips.cc/paper/2017/hash/03e0704b5690a2dee1861dc3ad3316c9-Abstract.html
Query Complexity of Clustering with Side Information,"Arya Mazumdar, Barna Saha",https://proceedings.neurips.cc/paper/2017/hash/03e7ef47cee6fa4ae7567394b99912b7-Abstract.html
Non-parametric Structured Output Networks,"Andreas Lehrmann, Leonid Sigal",https://proceedings.neurips.cc/paper/2017/hash/04048aeca2c0f5d84639358008ed2ae7-Abstract.html
Robust Imitation of Diverse Behaviors,"Ziyu Wang, Josh S. Merel, Scott E. Reed, Nando de Freitas, Gregory Wayne, Nicolas Heess",https://proceedings.neurips.cc/paper/2017/hash/044a23cadb567653eb51d4eb40acaa88-Abstract.html
High-Order Attention Models for Visual Question Answering,"Idan Schwartz, Alexander Schwing, Tamir Hazan",https://proceedings.neurips.cc/paper/2017/hash/051928341be67dcba03f0e04104d9047-Abstract.html
FALKON: An Optimal Large Scale Kernel Method,"Alessandro Rudi, Luigi Carratino, Lorenzo Rosasco",https://proceedings.neurips.cc/paper/2017/hash/05546b0e38ab9175cd905eebcc6ebb76-Abstract.html
Generalized Linear Model Regression under Distance-to-set Penalties,"Jason Xu, Eric Chi, Kenneth Lange",https://proceedings.neurips.cc/paper/2017/hash/061412e4a03c02f9902576ec55ebbe77-Abstract.html
Fisher GAN,"Youssef Mroueh, Tom Sercu",https://proceedings.neurips.cc/paper/2017/hash/07042ac7d03d3b9911a00da43ce0079a-Abstract.html
Minimax Estimation of Bandable Precision Matrices,"Addison Hu, Sahand Negahban",https://proceedings.neurips.cc/paper/2017/hash/070dbb6024b5ef93784428afc71f2146-Abstract.html
Kernel functions based on triplet comparisons,"Matthäus Kleindessner, Ulrike von Luxburg",https://proceedings.neurips.cc/paper/2017/hash/07211688a0869d995947a8fb11b215d6-Abstract.html
